,Company Name,Industry,Symbol,Series,ISIN Code
54,Electrosteel Castings Ltd.,Capital Goods,ELECTCAST,EQ,INE086A01029
55,Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
56,Epigral Ltd.,Chemicals,EPIGRAL,EQ,INE071N01016
57,Equinox India Developments Ltd.,Realty,EMBDL,EQ,INE069I01010
58,Ethos Ltd.,Consumer Durables,ETHOSLTD,EQ,INE04TZ01018
59,Eveready Industries India Ltd.,Fast Moving Consumer Goods,EVEREADY,EQ,INE128A01029
60,FDC Ltd.,Healthcare,FDC,EQ,INE258B01022
61,Fiem Industries Ltd,Automobile and Auto Components,FIEMIND,EQ,INE737H01014
62,Fineotex Chemical Ltd.,Chemicals,FCL,EQ,INE045J01026
63,Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
64,Fusion Finance Ltd.,Financial Services,FUSION,EQ,INE139R01012
65,GHCL Ltd.,Chemicals,GHCL,EQ,INE539A01019
66,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023
67,Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029
68,Ganesh Housing Corporation Ltd.,Realty,GANESHHOUC,EQ,INE460C01014
69,Garware Hi-Tech Films Ltd.,Capital Goods,GRWRHITECH,EQ,INE291A01017
70,Gateway Distriparks Ltd.,Services,GATEWAY,EQ,INE079J01017
71,Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024
72,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011
73,Gokaldas Exports Ltd.,Textiles,GOKEX,EQ,INE887G01027
74,Gopal Snacks Ltd.,Fast Moving Consumer Goods,GOPAL,EQ,INE0L9R01028
75,Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
76,Greaves Cotton Ltd.,Capital Goods,GREAVESCOT,EQ,INE224A01026
77,Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,EQ,INE08ZM01014
78,Greenply Industries Ltd.,Consumer Durables,GREENPLY,EQ,INE461C01038
79,Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,EQ,INE186A01019
80,Gulf Oil Lubricants India Ltd.,Oil Gas & Consumable Fuels,GULFOILLUB,EQ,INE635Q01029
81,H.G. Infra Engineering Ltd.,Construction,HGINFRA,EQ,INE926X01010
82,Happy Forgings Ltd.,Capital Goods,HAPPYFORGE,EQ,INE330T01021
83,Harsha Engineers International Ltd.,Capital Goods,HARSHA,EQ,INE0JUS01029
84,Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,EQ,INE982F01036
85,Healthcare Global Enterprises Ltd.,Healthcare,HCG,EQ,INE075I01017
86,HeidelbergCement India Ltd.,Construction Materials,HEIDELBERG,EQ,INE578A01017
87,Hemisphere Properties India Ltd.,Services,HEMIPROP,EQ,INE0AJG01018
88,Heritage Foods Ltd.,Fast Moving Consumer Goods,HERITGFOOD,EQ,INE978A01027
89,Hikal Ltd.,Healthcare,HIKAL,EQ,INE475B01022
90,Hindustan Construction Co. Ltd.,Construction,HCC,EQ,INE549A01026
91,Hindustan Foods Ltd.,Fast Moving Consumer Goods,HNDFDS,EQ,INE254N01026
