,Company Name,Industry,Symbol,Series,ISIN Code
109,Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING,EQ,INE032A01023
110,Borosil Ltd.,Consumer Durables,BOROLTD,EQ,INE02PY01013
111,Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
112,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
113,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
114,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
115,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
116,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
117,CESC Ltd.,Power,CESC,EQ,INE486A01021
118,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
119,CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
120,CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
121,CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
122,CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
123,Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
124,Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
125,Canara Bank,Financial Services,CANBK,EQ,INE476A01022
126,Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
127,Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
128,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
129,Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
130,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
131,Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
132,Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024
133,Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
134,Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
135,Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
136,Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
137,Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
138,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
139,Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050
140,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
141,Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
142,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
143,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
144,Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017
145,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
146,City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
147,Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
148,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
149,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,BE,INE704P01025
150,Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
151,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
152,Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
153,Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
154,Confidence Petroleum India Ltd.,Oil Gas & Consumable Fuels,CONFIPET,EQ,INE552D01024
155,Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
156,Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
157,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
158,CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
159,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
